0,Mobiliario,Mobiliario,PINTARRON 60X90 (ALTA 20 ENE 1999 MARCA ALFRA).,pintarron alfra,bien,mueble,p i n t a r r o n,a l f r a,
1,Equipo,Equipo,"MONITOR DE COLOR HP DE 15"", N.D. 017/2002 ALTA 07 OCTUBRE 2002",monitor hp,electronico,telecomunicaciones,m o n i t o r,h p,
2,Mobiliario,Mobiliario,"CESTO DE BASURA ALUMINIO N.D. 007/2005, ALTA 31 AGOSTO 2005",cesto basura aluminio,bien,NO CLASIFICADO,c e s t o,b a s u r a,a l u m i n i o
3,Transporte,Transporte,"AUTOMOVIL FORD ESCORT 1998, PLACAS: HZG1129, NO. SERIE: 3FABP1136WR109452, NO. MOTOR: S/N, NO. ECONÓ",automovil ford escort placas hzg fabp wr motor econó,transporte,terrestre,a u t o m o v i l,f o r d,e s c o r t
4,Equipo,Equipo,"TRITURADORA DE DOCUMENTOS. ALTA 13 SEP 2006, N.D. 07/2006",trituradora documentos,accesorios,papeleria,t r i t u r a d o r a,d o c u m e n t o s,
5,Mobiliario,Mobiliario,SILLON P/SALA RECEPCION.(SILLON FIJO III PLAZAS TELA VERDE) ALTA 04 FEB 2002 N.D. 005/2002,sillon sala recepcion sillon fijo iii plazas tela verde feb,bien,mueble,s i l l o n,s a l a,r e c e p c i o n
6,Equipo,Equipo,REGULADOR TDE S/N: 16030085976,regulador,electronico,telecomunicaciones,r e g u l a d o r,,
7,Equipo,Equipo,IDENTIFICADOR DE LLAMADAS,identificador llamadas,electronico,telecomunicaciones,i d e n t i f i c a d o r,l l a m a d a s,
8,Mobiliario,Mobiliario,MESA PARA IMPRESORA CON MEDIDA DE .80 DE FRENTE X .50 DE ANCHO X .75 DE ALTURA CON PUERTAS SIN CERRA,mesa impresora medida frente ancho altura puertas cerra,bien,mueble,m e s a,i m p r e s o r a,m e d i d a
9,Equipo,Equipo,"TELEFONO CORDLESS DECT/GAT HANSET-MOBILE 100 REFLEXES FOR OFFICE USE, DELIVERED, WITHOUT CHARGER",telefono cordless dect gat hanset mobile reflexes office use delivered without charger,electronico,telecomunicaciones,t e l e f o n o,c o r d l e s s,d e c t
10,Mobiliario,Mobiliario,"PEDESTAL SUSPENDIDO CON 1 CAJON PAPELERO,1 CAJON PARA INST. EN LATERALES, EN ESQUINERO, EN 2 GRAPAS",pedestal suspendido cajon papelero cajon inst laterales esquinero grapas,bien,NO CLASIFICADO,p e d e s t a l,s u s p e n d i d o,c a j o n
11,Equipo,Equipo,FAX TELEFONO,fax telefono,electronico,telecomunicaciones,f a x,t e l e f o n o,
12,Equipo,Equipo,"COMPUTADORA COMPLETA CON QUEMADORCPU MULTIMEDIA CON QUEMADOR 530 KINCLUYE: MONITOR, TECLADO Y MO",computadora completa quemadorcpu multimedia quemador kincluye monitor teclado mo,electronico,telecomunicaciones,c o m p u t a d o r a,c o m p l e t a,q u e m a d o r c p u
13,Mobiliario,Mobiliario,ARCHIVERO HORIZONTAL DE 3 GAVETAS,archivero horizontal gavetas,bien,mueble,a r c h i v e r o,h o r i z o n t a l,g a v e t a s
14,Equipo,Equipo,C.P.U. PENTIUM,pentium,electronico,telecomunicaciones,p e n t i u m,,
15,Mobiliario,Mobiliario,"ESCRITORIO EJECUTIVO DE MADERA C/5 CAJONES DE .80X1.77 S/M, S/M, S/N. SERIE",escritorio ejecutivo madera cajones,bien,mueble,e s c r i t o r i o,e j e c u t i v o,m a d e r a
16,Mobiliario,Mobiliario,ESCRITORIO GRAPA 1.26 CMS. BERLIN CAOBA,escritorio grapa berlin caoba,bien,mueble,e s c r i t o r i o,g r a p a,b e r l i n
17,Equipo,Equipo,"EXTINGUIDOR, MARCA ANSUL SENTRY, MODELO 435, S/N SERIE",extinguidor ansul sentry,accesorios,emergencias,e x t i n g u i d o r,a n s u l,s e n t r y
18,Equipo,Equipo,"PANEL DE TONOS, INSTALADO EN EL EDIFICIO CULTURAL Y ADMINISTRATIVO",panel tonos instalado edificio cultural administrativo,NO CLASIFICADO,NO CLASIFICADO,p a n e l,t o n o s,i n s t a l a d o
19,Equipo,Equipo,"ANTENA DIPOLOS OMNI DIRECCIONAL, INSTALADA EN EL CERRO DEL CUATRO",antena dipolos omni direccional instalada cerro cuatro,electronico,NO CLASIFICADO,a n t e n a,d i p o l o s,o m n i
20,Equipo,Equipo,"VIDEO CASETERA, FORMATO VHS DE 4 CABEZAS",video casetera formato vhs cabezas,electronico,NO CLASIFICADO,v i d e o,c a s e t e r a,f o r m a t o
21,Mobiliario,Mobiliario,SILLA SECRETARIAL CON RODAJAS Y CODERAS,silla secretarial rodajas coderas,bien,mueble,s i l l a,s e c r e t a r i a l,r o d a j a s
22,Mobiliario,Mobiliario,"MESA MULTIUSOS, MEDIDAS DE 40X60X68, CON CAJON",mesa multiusos medidas cajon,bien,mueble,m e s a,m u l t i u s o s,m e d i d a s
23,Mobiliario,Mobiliario,"COCINA INTEGRAL EN ESCUADRA, MEDIDAS DE 2.50 MTS. CUENTA CON 11 CAJONES, ESTADIO JALISCO",cocina integral escuadra medidas cuenta cajones estadio jalisco,bien,cocina,c o c i n a,i n t e g r a l,e s c u a d r a
24,Equipo,Equipo,ESTEREO CON DOS BOCINAS,estereo bocinas,electronico,NO CLASIFICADO,e s t e r e o,b o c i n a s,
25,Equipo,Equipo,VIDEOCASETERA DE 6 CABEZAS,videocasetera cabezas,electronico,NO CLASIFICADO,v i d e o c a s e t e r a,c a b e z a s,
26,Equipo,Equipo,DECK GRABADORA,deck grabadora,electronico,telecomunicaciones,d e c k,g r a b a d o r a,
27,Equipo,Equipo,"MONITOR, INSTALADO EN SALA DE EXRECTORES",monitor instalado sala exrectores,bien,telecomunicaciones,m o n i t o r,i n s t a l a d o,s a l a
28,Equipo,Equipo,RATÓN PS2 CON SCROLL (331),ratón ps scroll,NO CLASIFICADO,NO CLASIFICADO,r a t ó n,p s,s c r o l l
29,Equipo,Equipo,IMPRESORA LASERJET 20PM A COLOR.,impresora laserjet pm,electronico,telecomunicaciones,i m p r e s o r a,l a s e r j e t,p m
30,Mobiliario,Mobiliario,TUBULAR 4 NIVELES,tubular niveles,NO CLASIFICADO,NO CLASIFICADO,t u b u l a r,n i v e l e s,
